,Gender,Shift,Injury Location,Age_grouping,scaled_DaysLost,scaled_IncidentCost,Incident Type_Burn,Incident Type_Crush & Pinch,Incident Type_Cut,Incident Type_Equipment,Incident Type_Fall,Incident Type_Falling object,Incident Type_Lifting,Incident Type_Slip/trip,Incident Type_Vehicle
105,0,1,2,5,0.6000000000000001,0.5874,0,0,0,0,0,1,0,0,0
106,0,1,4,3,0.2,0.5754,1,0,0,0,0,0,0,0,0
107,1,0,0,2,0.8,0.5722,0,0,1,0,0,0,0,0,0
108,0,0,1,1,0.0,0.5720000000000001,0,0,1,0,0,0,0,0,0
109,0,1,2,1,0.1,0.5708,0,0,0,0,0,0,0,1,0
110,0,1,4,5,0.6000000000000001,0.5702,0,0,1,0,0,0,0,0,0
111,0,0,4,1,0.0,0.5602,0,0,0,0,0,0,0,1,0
112,1,0,0,5,0.0,0.559,0,0,0,0,0,0,0,0,1
113,0,0,3,2,0.0,0.5586,0,0,1,0,0,0,0,0,0
114,0,1,2,2,0.5,0.558,0,0,0,0,0,0,0,1,0
116,0,1,1,1,0.0,0.5528000000000001,0,0,0,0,1,0,0,0,0
117,0,1,2,2,0.8,0.541,0,0,0,0,0,0,0,0,1
118,0,0,2,5,0.0,0.5398000000000001,0,0,0,1,0,0,0,0,0
119,0,0,0,2,0.9,0.5302,1,0,0,0,0,0,0,0,0
120,0,1,4,3,0.6000000000000001,0.5254,0,0,1,0,0,0,0,0,0
122,0,1,0,2,0.0,0.523,0,0,0,0,0,0,0,0,1
123,0,0,0,2,0.4,0.5186000000000001,0,1,0,0,0,0,0,0,0
124,0,1,0,2,0.0,0.5164,1,0,0,0,0,0,0,0,0
125,0,0,0,2,1.0,0.5138,1,0,0,0,0,0,0,0,0
126,0,1,3,2,0.4,0.5088,0,0,0,0,1,0,0,0,0
127,0,1,4,5,0.9,0.505,0,1,0,0,0,0,0,0,0
128,0,1,3,3,0.0,0.5042,0,0,0,0,0,0,0,1,0
129,1,1,0,3,0.0,0.5028,0,1,0,0,0,0,0,0,0
130,0,1,3,2,0.0,0.49620000000000003,0,0,0,0,0,0,1,0,0
131,0,0,0,3,1.0,0.4958,0,0,0,1,0,0,0,0,0
132,0,0,4,3,0.0,0.49520000000000003,0,0,0,1,0,0,0,0,0
133,0,1,2,3,0.1,0.49360000000000004,0,1,0,0,0,0,0,0,0
135,0,1,0,3,0.7000000000000001,0.4932,0,0,0,0,0,0,0,0,1
136,1,0,1,2,0.0,0.4922,0,0,0,0,0,0,1,0,0
137,0,1,0,5,0.0,0.4918,0,0,0,0,1,0,0,0,0
139,0,1,0,3,0.0,0.49000000000000005,0,0,0,0,1,0,0,0,0
141,0,1,3,3,0.6000000000000001,0.47940000000000005,0,0,0,0,0,0,1,0,0
142,0,1,4,3,0.0,0.47740000000000005,0,0,0,0,0,0,0,1,0
144,0,1,0,5,0.5,0.47400000000000003,0,0,0,1,0,0,0,0,0
145,1,1,4,3,0.0,0.4718,0,0,0,0,0,0,0,1,0
146,0,0,3,2,0.0,0.4712,0,0,0,0,0,0,0,1,0
147,0,0,0,3,0.0,0.4702,0,0,0,0,0,0,1,0,0
148,0,0,1,2,0.0,0.46740000000000004,0,1,0,0,0,0,0,0,0
149,1,1,1,3,0.30000000000000004,0.4672,0,1,0,0,0,0,0,0,0
150,0,1,1,3,0.2,0.4666,0,0,0,0,0,0,0,1,0
151,1,1,4,2,0.0,0.4642,0,0,0,0,0,1,0,0,0
152,1,0,3,2,0.0,0.4536,0,0,0,0,0,0,0,0,1
153,0,1,1,5,0.2,0.449,0,0,0,0,0,0,0,0,1
154,0,0,1,3,0.2,0.4474,0,0,0,0,0,0,1,0,0
155,0,1,1,2,0.0,0.4368,1,0,0,0,0,0,0,0,0
156,0,1,0,5,0.2,0.434,1,0,0,0,0,0,0,0,0
157,0,1,4,3,0.0,0.4248,0,1,0,0,0,0,0,0,0
158,1,0,0,3,0.0,0.42400000000000004,0,0,0,0,0,1,0,0,0
159,0,1,4,2,0.0,0.4126,0,0,1,0,0,0,0,0,0
160,0,1,4,2,0.0,0.40440000000000004,0,0,0,1,0,0,0,0,0
161,0,1,4,3,0.6000000000000001,0.403,0,0,0,0,0,0,0,1,0
162,0,1,4,5,0.0,0.40140000000000003,0,0,0,0,1,0,0,0,0
163,0,1,3,3,1.0,0.3986,0,0,0,0,0,0,0,0,1
164,0,0,0,3,0.0,0.3902,0,0,0,0,0,0,1,0,0
165,0,0,2,5,0.0,0.3894,0,1,0,0,0,0,0,0,0
166,0,1,2,3,0.9,0.387,1,0,0,0,0,0,0,0,0
167,0,0,2,2,0.5,0.3844,0,1,0,0,0,0,0,0,0
168,0,1,3,5,1.0,0.38380000000000003,0,0,0,1,0,0,0,0,0
169,0,0,0,2,0.4,0.3804,0,0,0,0,0,0,0,0,1
170,0,1,4,3,0.0,0.378,0,0,0,0,1,0,0,0,0
171,0,1,3,2,0.0,0.3768,1,0,0,0,0,0,0,0,0
172,0,0,0,3,0.0,0.3744,1,0,0,0,0,0,0,0,0
173,0,1,0,5,0.0,0.36960000000000004,0,1,0,0,0,0,0,0,0
174,0,1,4,2,0.0,0.367,1,0,0,0,0,0,0,0,0
176,0,1,1,2,0.0,0.3638,0,0,0,0,0,0,1,0,0
177,0,0,1,5,0.7000000000000001,0.3612,0,0,0,0,0,0,0,1,0
178,0,1,1,2,0.8,0.35860000000000003,0,0,0,1,0,0,0,0,0
179,0,1,0,2,0.30000000000000004,0.3554,1,0,0,0,0,0,0,0,0
180,0,1,2,4,0.7000000000000001,0.3538,0,0,0,0,0,0,0,0,1
183,0,1,3,2,0.30000000000000004,0.3396,0,0,1,0,0,0,0,0,0
184,0,1,1,2,0.0,0.3392,0,0,0,0,0,0,0,1,0
185,0,1,0,4,0.9,0.3388,0,1,0,0,0,0,0,0,0
186,0,0,4,5,0.0,0.338,0,0,0,0,0,0,0,0,1
187,0,0,3,5,0.0,0.3286,0,0,1,0,0,0,0,0,0
188,0,1,1,4,0.0,0.3272,0,0,0,0,0,0,0,1,0
189,1,1,1,4,0.4,0.327,0,0,0,1,0,0,0,0,0
190,1,0,3,2,0.8,0.31880000000000003,0,1,0,0,0,0,0,0,0
191,0,0,1,4,0.30000000000000004,0.3184,0,1,0,0,0,0,0,0,0
192,1,1,2,2,0.0,0.317,0,0,1,0,0,0,0,0,0
193,1,0,0,2,1.0,0.301,0,0,0,1,0,0,0,0,0
194,0,0,3,4,0.0,0.29860000000000003,0,0,0,0,0,1,0,0,0
195,0,0,0,2,0.5,0.2972,0,0,1,0,0,0,0,0,0
196,0,0,1,2,0.2,0.2898,1,0,0,0,0,0,0,0,0
197,0,1,1,2,0.0,0.2866,0,0,0,0,0,1,0,0,0
198,0,0,0,5,0.0,0.28600000000000003,0,0,0,0,0,1,0,0,0
199,1,1,1,2,0.7000000000000001,0.2848,0,0,0,1,0,0,0,0,0
200,0,1,0,2,0.8,0.27840000000000004,0,0,1,0,0,0,0,0,0
201,0,1,2,2,0.0,0.267,0,0,0,0,0,0,1,0,0
202,0,1,2,2,0.2,0.2602,0,0,0,0,0,0,1,0,0
203,0,0,3,5,0.0,0.2554,1,0,0,0,0,0,0,0,0
204,0,1,1,2,0.30000000000000004,0.24960000000000002,1,0,0,0,0,0,0,0,0
205,0,1,4,2,0.30000000000000004,0.2482,0,0,0,1,0,0,0,0,0
206,0,0,2,2,0.30000000000000004,0.24600000000000002,0,0,0,0,1,0,0,0,0
208,0,1,0,5,0.7000000000000001,0.2426,0,0,0,0,0,0,0,0,1
209,0,1,4,4,0.8,0.23920000000000002,0,0,0,0,1,0,0,0,0
210,0,1,1,4,0.8,0.23800000000000002,0,0,0,0,0,0,1,0,0
211,0,1,0,2,0.30000000000000004,0.2354,0,0,1,0,0,0,0,0,0
212,0,1,4,2,0.0,0.2348,0,0,0,0,0,0,0,1,0
213,0,1,2,2,0.2,0.2346,0,1,0,0,0,0,0,0,0
214,0,1,1,2,0.0,0.2336,0,0,0,1,0,0,0,0,0
215,0,1,0,4,0.7000000000000001,0.231,0,1,0,0,0,0,0,0,0
216,0,0,3,2,0.9,0.23040000000000002,0,0,0,0,0,0,0,0,1
217,0,0,3,2,0.0,0.2272,0,0,1,0,0,0,0,0,0
218,0,0,4,2,0.0,0.2242,0,0,0,0,0,1,0,0,0
219,0,1,3,5,1.0,0.2238,0,0,0,0,0,1,0,0,0
220,0,0,4,2,0.1,0.21680000000000002,0,0,1,0,0,0,0,0,0
221,1,1,1,2,0.0,0.20900000000000002,0,0,1,0,0,0,0,0,0
222,1,1,4,5,0.0,0.202,0,0,1,0,0,0,0,0,0
223,0,0,0,4,0.30000000000000004,0.1996,1,0,0,0,0,0,0,0,0
225,0,1,1,4,0.0,0.1842,1,0,0,0,0,0,0,0,0
226,0,1,4,2,0.1,0.184,0,0,1,0,0,0,0,0,0
227,0,1,1,5,0.5,0.1806,0,0,0,0,0,1,0,0,0
228,0,0,4,2,0.0,0.1764,0,0,0,0,1,0,0,0,0
229,0,1,3,2,0.9,0.171,0,0,0,0,0,1,0,0,0
230,0,0,0,2,0.0,0.169,0,0,0,0,0,0,0,1,0
231,0,0,0,5,0.5,0.1638,0,0,0,0,0,0,0,0,1
232,0,1,2,2,0.5,0.16140000000000002,0,0,0,0,0,0,0,0,1
233,0,0,1,5,0.0,0.1608,1,0,0,0,0,0,0,0,0
234,0,1,0,4,0.0,0.1608,0,0,0,0,0,1,0,0,0
235,0,1,4,2,0.1,0.1572,1,0,0,0,0,0,0,0,0
236,1,1,0,5,0.9,0.1476,0,1,0,0,0,0,0,0,0
237,0,0,0,5,0.8,0.1472,0,0,0,0,0,0,1,0,0
238,0,0,3,2,0.0,0.1466,0,0,0,0,0,1,0,0,0
239,0,1,3,5,0.0,0.1438,0,0,0,0,0,0,1,0,0
240,0,1,0,4,0.0,0.1436,1,0,0,0,0,0,0,0,0
241,0,1,1,4,0.5,0.1418,0,0,0,0,0,0,1,0,0
242,0,1,4,5,0.0,0.14120000000000002,0,0,0,0,0,0,0,0,1
243,0,1,4,2,0.1,0.1348,1,0,0,0,0,0,0,0,0
244,0,1,0,5,0.4,0.1348,0,0,0,0,1,0,0,0,0
245,0,1,1,2,0.0,0.1336,0,0,0,0,0,0,1,0,0
246,1,1,2,2,0.0,0.1306,1,0,0,0,0,0,0,0,0
247,0,1,4,2,0.0,0.1268,0,0,0,0,0,0,0,0,1
248,0,1,3,2,0.0,0.12560000000000002,1,0,0,0,0,0,0,0,0
249,0,1,2,4,1.0,0.1206,0,0,0,0,0,0,0,1,0
250,0,0,4,2,0.0,0.11760000000000001,0,0,0,0,1,0,0,0,0
251,0,1,4,2,0.9,0.117,0,0,0,0,1,0,0,0,0
252,0,0,1,5,0.8,0.108,0,0,1,0,0,0,0,0,0
253,0,1,1,2,0.0,0.1068,0,0,0,0,0,1,0,0,0
254,0,1,3,2,0.0,0.1068,0,0,0,0,0,0,0,0,1
255,0,1,1,3,0.0,0.10640000000000001,0,0,1,0,0,0,0,0,0
256,0,1,4,2,0.0,0.1044,0,0,0,0,0,0,1,0,0
257,1,1,4,4,0.0,0.10060000000000001,0,1,0,0,0,0,0,0,0
258,0,1,0,2,0.0,0.10020000000000001,0,0,0,0,0,0,0,1,0
259,0,0,0,3,0.6000000000000001,0.09960000000000001,0,0,0,0,0,0,0,0,1
260,0,1,0,3,0.0,0.09860000000000001,0,0,0,0,0,0,1,0,0
261,0,1,2,2,0.0,0.09820000000000001,0,0,1,0,0,0,0,0,0
262,1,0,0,3,0.0,0.094,0,0,0,0,0,0,1,0,0
263,0,1,2,4,0.0,0.0932,1,0,0,0,0,0,0,0,0
264,0,1,0,3,0.0,0.0922,0,0,0,0,0,0,0,0,1
265,1,1,2,3,0.0,0.09140000000000001,0,0,1,0,0,0,0,0,0
266,0,1,4,5,0.0,0.09140000000000001,0,1,0,0,0,0,0,0,0
267,0,1,2,5,0.0,0.0912,0,0,1,0,0,0,0,0,0
268,0,0,4,4,0.0,0.0906,0,0,0,0,0,1,0,0,0
269,1,1,4,2,0.9,0.09000000000000001,0,0,0,0,0,1,0,0,0
270,0,1,3,3,0.0,0.0898,0,0,0,0,1,0,0,0,0
271,1,0,1,3,0.0,0.0884,0,0,0,0,0,0,0,0,1
272,1,1,4,3,0.0,0.0868,1,0,0,0,0,0,0,0,0
273,0,0,4,5,0.0,0.08600000000000001,0,0,0,0,1,0,0,0,0
274,0,1,3,3,0.0,0.08460000000000001,1,0,0,0,0,0,0,0,0
275,0,0,2,5,0.0,0.0844,0,0,0,1,0,0,0,0,0
276,0,1,3,4,0.0,0.084,0,1,0,0,0,0,0,0,0
277,0,1,0,5,0.0,0.0828,0,0,0,0,0,0,1,0,0
278,0,1,3,5,0.0,0.079,0,0,0,0,1,0,0,0,0
280,0,1,3,5,0.0,0.077,0,0,0,1,0,0,0,0,0
281,0,1,3,4,0.0,0.0766,0,0,0,0,1,0,0,0,0
282,0,0,3,3,0.0,0.07640000000000001,0,0,0,0,0,0,0,1,0
283,0,0,2,5,0.0,0.0746,0,0,0,0,1,0,0,0,0
284,0,0,0,4,0.0,0.0738,0,0,0,0,0,0,0,1,0
285,0,0,1,2,0.0,0.0732,0,0,0,0,1,0,0,0,0
286,0,1,2,5,0.0,0.0722,0,0,0,0,0,0,0,1,0
287,0,1,0,4,0.0,0.07200000000000001,0,0,0,0,1,0,0,0,0
290,0,0,2,3,0.0,0.07,0,0,0,0,1,0,0,0,0
291,0,0,0,4,0.0,0.0684,0,0,0,0,0,0,0,1,0
292,0,1,0,2,0.0,0.0682,0,0,1,0,0,0,0,0,0
293,0,1,2,3,0.0,0.0682,0,0,0,1,0,0,0,0,0
294,0,1,3,3,0.0,0.06760000000000001,0,1,0,0,0,0,0,0,0
295,0,0,3,3,0.0,0.066,0,0,0,0,0,0,1,0,0
296,1,1,3,2,0.0,0.06520000000000001,0,0,0,0,0,0,1,0,0
297,0,1,4,3,0.0,0.0648,0,0,0,0,0,0,0,0,1
298,0,1,3,4,0.0,0.06420000000000001,1,0,0,0,0,0,0,0,0
299,1,1,2,5,0.0,0.06280000000000001,0,0,0,0,0,1,0,0,0
300,0,1,4,2,0.0,0.0616,0,0,0,1,0,0,0,0,0
301,0,1,1,5,0.0,0.0614,0,0,0,0,1,0,0,0,0
302,0,1,0,3,0.0,0.061000000000000006,0,0,0,0,0,1,0,0,0
303,0,1,3,4,0.0,0.0604,0,0,0,1,0,0,0,0,0
305,0,0,1,5,0.0,0.056400000000000006,0,0,0,0,1,0,0,0,0
306,0,1,1,3,0.0,0.0562,0,0,0,0,0,0,0,0,1
307,0,1,3,3,0.0,0.055600000000000004,0,0,0,0,0,0,0,1,0
308,1,1,3,2,0.0,0.055400000000000005,0,0,0,0,0,0,0,1,0
309,0,1,1,5,0.0,0.053000000000000005,1,0,0,0,0,0,0,0,0
310,0,0,1,3,0.0,0.052000000000000005,1,0,0,0,0,0,0,0,0
311,0,0,3,5,0.0,0.051800000000000006,0,0,0,0,1,0,0,0,0
313,0,1,1,5,0.0,0.049800000000000004,0,0,0,0,0,0,1,0,0
314,0,1,2,2,0.0,0.0494,0,0,0,0,1,0,0,0,0
315,0,1,0,4,0.0,0.0488,1,0,0,0,0,0,0,0,0
316,0,1,0,5,0.0,0.048400000000000006,0,0,0,0,0,0,0,1,0
317,0,1,4,2,0.0,0.0476,0,0,1,0,0,0,0,0,0
318,0,1,3,2,0.0,0.0472,0,0,0,0,1,0,0,0,0
319,0,0,3,3,0.0,0.0458,0,1,0,0,0,0,0,0,0
320,0,1,1,4,0.0,0.0448,1,0,0,0,0,0,0,0,0
321,0,1,1,3,0.0,0.0434,0,0,0,1,0,0,0,0,0
322,0,1,1,5,0.0,0.041800000000000004,0,0,0,0,0,0,0,0,1
323,0,0,0,4,0.0,0.0414,0,0,0,0,0,0,0,1,0
324,0,0,1,2,0.0,0.0412,0,0,0,1,0,0,0,0,0
325,0,0,3,5,0.0,0.0378,0,1,0,0,0,0,0,0,0
326,0,1,3,2,0.0,0.0378,0,0,0,0,1,0,0,0,0
327,0,0,1,3,0.0,0.036000000000000004,0,1,0,0,0,0,0,0,0
328,0,0,2,4,0.0,0.034800000000000005,0,0,1,0,0,0,0,0,0
329,0,0,0,3,0.0,0.0346,1,0,0,0,0,0,0,0,0
330,0,1,0,3,0.0,0.0324,0,0,0,0,1,0,0,0,0
331,0,0,0,2,0.0,0.0318,1,0,0,0,0,0,0,0,0
332,0,0,3,4,0.0,0.031,1,0,0,0,0,0,0,0,0
333,0,1,4,3,0.0,0.0304,0,0,0,0,0,1,0,0,0
335,0,1,2,3,0.0,0.0286,0,0,0,1,0,0,0,0,0
336,0,1,0,2,0.0,0.028,0,0,0,1,0,0,0,0,0
337,0,1,1,4,0.0,0.026600000000000002,0,0,0,0,0,0,0,0,1
339,0,1,2,2,0.0,0.0258,0,0,0,0,0,0,1,0,0
340,0,1,1,5,0.0,0.025,0,0,1,0,0,0,0,0,0
341,0,1,2,3,0.0,0.0238,0,0,0,0,0,0,0,0,1
342,0,1,3,3,0.0,0.0236,0,0,0,0,0,0,0,1,0
343,0,1,2,3,0.0,0.0236,0,1,0,0,0,0,0,0,0
344,0,1,3,4,0.0,0.023,1,0,0,0,0,0,0,0,0
345,0,1,3,3,0.0,0.023,0,0,0,1,0,0,0,0,0
346,0,1,0,3,0.0,0.0228,0,0,1,0,0,0,0,0,0
347,0,1,3,3,0.0,0.021400000000000002,0,0,0,0,1,0,0,0,0
348,0,1,4,4,0.0,0.019,0,0,1,0,0,0,0,0,0
349,0,1,4,5,0.0,0.0176,0,0,0,0,0,0,1,0,0
350,0,1,0,2,0.0,0.0176,0,0,0,0,0,1,0,0,0
351,0,1,1,2,0.0,0.016800000000000002,0,0,0,1,0,0,0,0,0
352,0,1,1,4,0.0,0.0166,0,0,0,0,0,0,0,1,0
353,0,1,3,4,0.0,0.0154,1,0,0,0,0,0,0,0,0
354,1,1,2,2,0.0,0.0154,0,1,0,0,0,0,0,0,0
355,0,1,1,3,0.0,0.0152,0,0,0,0,0,0,1,0,0
356,0,1,1,5,0.0,0.0134,0,0,0,0,0,1,0,0,0
357,0,1,0,3,0.0,0.0134,0,0,0,1,0,0,0,0,0
358,0,1,1,4,0.0,0.0132,0,0,0,0,1,0,0,0,0
359,0,0,1,3,0.0,0.013000000000000001,0,0,0,0,1,0,0,0,0
360,1,1,0,4,0.0,0.012,0,0,0,0,1,0,0,0,0
363,0,0,1,2,0.0,0.0118,0,0,0,0,0,1,0,0,0
364,0,0,4,3,0.0,0.011600000000000001,1,0,0,0,0,0,0,0,0
365,0,1,0,3,0.0,0.0114,0,0,0,0,0,0,1,0,0
366,1,0,0,5,0.0,0.0106,0,0,0,1,0,0,0,0,0
368,0,1,0,4,0.0,0.008,0,0,0,1,0,0,0,0,0
369,0,1,0,2,0.0,0.0074,0,0,1,0,0,0,0,0,0
370,0,1,0,5,0.0,0.0074,0,0,0,0,0,0,0,1,0
371,0,0,0,2,0.0,0.007200000000000001,0,0,0,0,0,0,1,0,0
373,0,1,2,3,0.0,0.0016,0,0,0,0,0,1,0,0,0
375,1,1,3,5,0.0,0.0,1,0,0,0,0,0,0,0,0
376,0,1,3,4,0.0,0.0,0,0,1,0,0,0,0,0,0
377,0,1,1,3,0.0,0.0,0,0,0,0,0,1,0,0,0
378,1,1,1,3,0.0,0.0,0,0,0,0,0,0,1,0,0
379,0,0,4,3,0.0,0.0,1,0,0,0,0,0,0,0,0
380,0,1,2,2,0.0,0.0,0,0,0,0,0,0,1,0,0
381,0,1,0,2,0.0,0.0,0,0,0,1,0,0,0,0,0
382,0,0,0,3,0.0,0.0,0,0,0,0,0,0,0,1,0
383,0,1,3,4,0.0,0.0,1,0,0,0,0,0,0,0,0
384,1,1,3,5,0.0,0.0,1,0,0,0,0,0,0,0,0
385,0,0,4,4,0.0,0.0,0,0,1,0,0,0,0,0,0
386,0,1,3,4,0.0,0.0,0,0,0,0,0,0,1,0,0
387,0,0,3,3,0.0,0.0,0,0,0,0,0,1,0,0,0
388,0,1,1,4,0.0,0.0,0,0,0,0,0,0,0,1,0
389,0,0,4,2,0.0,0.0,0,0,0,0,1,0,0,0,0
390,0,0,2,3,0.0,0.0,1,0,0,0,0,0,0,0,0
391,0,0,1,4,0.0,0.0,0,0,0,1,0,0,0,0,0
